transaction_id,customer_id,transaction_date,amount,transaction_type
1,1,2024-02-17,9.99,subscription
2,1,2024-03-18,9.99,subscription
3,1,2024-04-17,9.99,subscription
4,1,2024-05-17,9.99,subscription
5,1,2024-06-16,9.99,subscription
6,1,2024-07-16,9.99,subscription
7,1,2024-08-15,9.99,subscription
8,1,2024-09-14,9.99,subscription
9,1,2024-10-14,9.99,subscription
10,1,2024-11-13,9.99,subscription
11,1,2024-12-13,9.99,subscription
12,1,2025-01-12,9.99,subscription
13,1,2025-02-11,9.99,subscription
14,1,2025-03-13,9.99,subscription
15,1,2025-04-12,7.99,subscription
16,1,2025-05-12,9.99,subscription
17,1,2025-06-11,9.99,subscription
18,1,2025-07-11,9.99,subscription
19,1,2025-08-10,9.99,subscription
20,1,2025-09-09,9.99,subscription
21,1,2025-10-09,9.99,subscription
22,1,2025-11-08,9.99,subscription
23,1,2025-12-08,9.99,subscription
24,1,2026-01-07,9.99,subscription
25,1,2026-02-06,9.99,subscription
26,1,2026-03-08,9.99,subscription
27,2,2025-08-09,19.99,subscription
28,2,2025-09-08,19.99,subscription
29,2,2025-10-08,19.99,subscription
30,2,2025-11-07,19.99,subscription
31,2,2025-12-07,19.99,subscription
32,2,2026-01-06,19.99,subscription
33,2,2026-02-05,19.99,subscription
34,2,2026-03-07,19.99,subscription
35,3,2024-06-22,34.99,subscription
36,3,2024-07-22,34.99,subscription
37,3,2024-08-21,34.99,subscription
38,3,2024-09-20,34.99,subscription
39,3,2024-10-20,34.99,subscription
40,3,2024-11-05,4.53,add_on
41,3,2024-11-19,34.99,subscription
42,3,2024-12-19,27.99,subscription
43,3,2025-01-18,34.99,subscription
44,3,2025-01-21,19.92,add_on
45,3,2025-02-17,34.99,subscription
46,3,2025-03-03,13.66,add_on
47,3,2025-03-19,34.99,subscription
48,3,2025-04-18,27.99,subscription
49,3,2025-05-18,34.99,subscription
50,3,2025-06-17,34.99,subscription
51,3,2025-07-17,34.99,subscription
52,3,2025-08-16,34.99,subscription
53,3,2025-09-15,34.99,subscription
54,3,2025-10-15,34.99,subscription
55,3,2025-11-14,34.99,subscription
56,3,2025-12-14,34.99,subscription
57,3,2026-01-13,34.99,subscription
58,3,2026-02-12,34.99,subscription
59,3,2026-03-14,34.99,subscription
60,4,2025-05-08,34.99,subscription
61,4,2025-06-07,34.99,subscription
62,5,2024-11-18,34.99,subscription
63,5,2024-12-18,34.99,subscription
64,5,2025-01-17,34.99,subscription
65,5,2025-02-16,34.99,subscription
66,5,2025-03-18,34.99,subscription
67,5,2025-04-17,27.99,subscription
68,5,2025-05-17,34.99,subscription
69,5,2025-06-16,34.99,subscription
70,5,2025-07-16,34.99,subscription
71,5,2025-08-15,34.99,subscription
72,5,2025-09-14,34.99,subscription
73,5,2025-10-14,34.99,subscription
74,5,2025-11-13,34.99,subscription
75,5,2025-12-13,34.99,subscription
76,5,2026-01-12,34.99,subscription
77,5,2026-02-11,34.99,subscription
78,5,2026-03-13,34.99,subscription
79,6,2024-11-05,9.99,subscription
80,6,2024-12-05,9.99,subscription
81,6,2025-01-04,9.99,subscription
82,6,2025-02-03,9.99,subscription
83,6,2025-03-05,9.99,subscription
84,6,2025-04-04,9.99,subscription
85,6,2025-05-04,9.99,subscription
86,6,2025-06-03,9.99,subscription
87,6,2025-07-03,9.99,subscription
88,6,2025-08-02,9.99,subscription
89,6,2025-09-01,9.99,subscription
90,6,2025-10-01,9.99,subscription
91,6,2025-10-31,9.99,subscription
92,6,2025-11-30,9.99,subscription
93,6,2025-12-30,9.99,subscription
94,6,2026-01-29,9.99,subscription
95,6,2026-02-28,9.99,subscription
96,6,2026-03-30,9.99,subscription
97,7,2024-04-30,19.99,subscription
98,7,2024-05-30,19.99,subscription
99,7,2024-06-29,19.99,subscription
100,7,2024-07-29,19.99,subscription
101,7,2024-08-28,19.99,subscription
102,7,2024-09-27,19.99,subscription
103,7,2024-10-27,19.99,subscription
104,7,2024-11-26,19.99,subscription
105,7,2024-12-26,19.99,subscription
106,7,2025-01-25,19.99,subscription
107,7,2025-02-24,19.99,subscription
108,7,2025-03-26,19.99,subscription
109,7,2025-04-25,19.99,subscription
110,7,2025-05-25,19.99,subscription
111,7,2025-06-24,19.99,subscription
112,7,2025-07-24,19.99,subscription
113,7,2025-08-23,19.99,subscription
114,7,2025-09-22,19.99,subscription
115,7,2025-10-22,19.99,subscription
116,7,2025-11-21,19.99,subscription
117,7,2025-12-21,19.99,subscription
118,7,2026-01-20,19.99,subscription
119,7,2026-02-19,19.99,subscription
120,7,2026-03-21,19.99,subscription
121,8,2025-07-28,34.99,subscription
122,8,2025-08-27,34.99,subscription
123,8,2025-08-31,9.48,add_on
124,8,2025-09-26,34.99,subscription
125,8,2025-10-26,34.99,subscription
126,8,2025-11-25,34.99,subscription
127,8,2025-12-25,34.99,subscription
128,8,2026-01-24,34.99,subscription
129,8,2026-01-26,14.67,add_on
130,8,2026-02-23,34.99,subscription
131,8,2026-03-25,34.99,subscription
132,9,2025-02-15,15.99,subscription
133,9,2025-03-17,19.99,subscription
134,9,2025-04-16,19.99,subscription
135,9,2025-05-16,19.99,subscription
136,9,2025-06-15,19.99,subscription
137,9,2025-07-15,19.99,subscription
138,9,2025-08-14,19.99,subscription
139,9,2025-09-13,15.99,subscription
140,9,2025-10-13,19.99,subscription
141,9,2025-11-12,15.99,subscription
142,9,2025-12-12,19.99,subscription
143,9,2026-01-11,15.99,subscription
144,9,2026-02-10,19.99,subscription
145,9,2026-03-12,19.99,subscription
146,10,2025-02-04,9.99,subscription
147,10,2025-03-06,9.99,subscription
148,10,2025-04-05,9.99,subscription
149,10,2025-05-05,9.99,subscription
150,10,2025-06-04,9.99,subscription
151,10,2025-07-04,7.99,subscription
152,10,2025-08-03,9.99,subscription
153,10,2025-09-02,9.99,subscription
154,10,2025-10-02,9.99,subscription
155,10,2025-11-01,9.99,subscription
156,10,2025-12-01,9.99,subscription
157,10,2025-12-31,9.99,subscription
158,11,2024-03-12,34.99,subscription
159,11,2024-04-11,34.99,subscription
160,11,2024-05-11,34.99,subscription
161,11,2024-06-10,34.99,subscription
162,11,2024-06-23,15.73,add_on
163,11,2024-07-10,34.99,subscription
164,11,2024-08-09,34.99,subscription
165,11,2024-09-08,34.99,subscription
166,11,2024-09-18,7.68,add_on
167,11,2024-10-08,34.99,subscription
168,11,2024-11-07,27.99,subscription
169,11,2024-12-07,34.99,subscription
170,11,2025-01-06,34.99,subscription
171,11,2025-02-05,34.99,subscription
172,11,2025-03-07,34.99,subscription
173,11,2025-04-06,34.99,subscription
174,11,2025-05-06,27.99,subscription
175,11,2025-06-05,34.99,subscription
176,11,2025-07-05,34.99,subscription
177,11,2025-08-04,34.99,subscription
178,11,2025-09-03,34.99,subscription
179,11,2025-10-03,34.99,subscription
180,11,2025-11-02,34.99,subscription
181,11,2025-12-02,34.99,subscription
182,11,2026-01-01,27.99,subscription
183,11,2026-01-31,34.99,subscription
184,11,2026-03-02,34.99,subscription
185,12,2024-01-16,34.99,subscription
186,12,2024-02-15,34.99,subscription
187,12,2024-03-16,34.99,subscription
188,12,2024-04-15,34.99,subscription
189,12,2024-05-15,34.99,subscription
190,12,2024-06-14,34.99,subscription
191,12,2024-07-14,34.99,subscription
192,12,2024-08-13,34.99,subscription
193,12,2024-09-12,34.99,subscription
194,12,2024-10-12,34.99,subscription
195,12,2024-11-11,34.99,subscription
196,12,2024-12-11,34.99,subscription
197,12,2025-01-10,34.99,subscription
198,12,2025-02-09,34.99,subscription
199,12,2025-03-11,27.99,subscription
200,12,2025-03-26,14.51,add_on
201,12,2025-04-10,34.99,subscription
202,12,2025-05-10,34.99,subscription
203,12,2025-06-09,34.99,subscription
204,12,2025-07-09,27.99,subscription
205,12,2025-08-08,34.99,subscription
206,12,2025-09-07,34.99,subscription
